127.0.0.1 - - [27/Jul/2012:10:22:42 +0530] "GET / HTTP/1.1" 404 953
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:22:43 +0530] "GET /Day03/lab07.html HTTP/1.1" 200 2101
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:22:43 +0530] "GET /Day03/jquery.mobile-1.1.1.css HTTP/1.1" 200 102759
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:22:43 +0530] "GET /Day03/jquery-1.7.2.js HTTP/1.1" 200 262283
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:22:43 +0530] "GET /Day03/jquery.mobile-1.1.1.js HTTP/1.1" 200 244345
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:22:44 +0530] "GET /Day03/images/ajax-loader.gif HTTP/1.1" 404 1037
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:22:44 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:23:29 +0530] "GET /Day03/lab07.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:23:29 +0530] "GET /Day03/jquery.mobile-1.1.1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:23:29 +0530] "GET /Day03/jquery-1.7.2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:23:29 +0530] "GET /Day03/jquery.mobile-1.1.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:23:38 +0530] "GET /Day03/login.jsp?username=hkjhkj&password=kjhkjhkjh HTTP/1.1" 200 30
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:23:54 +0530] "GET /Day03/lab07.html HTTP/1.1" 200 2122
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:23:54 +0530] "GET /Day03/jquery.mobile-1.1.1.css HTTP/1.1" 200 102759
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:23:55 +0530] "GET /Day03/jquery.mobile-1.1.1.js HTTP/1.1" 200 244345
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:23:55 +0530] "GET /Day03/jquery-1.7.2.js HTTP/1.1" 200 262283
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:23:55 +0530] "GET /Day03/images/ajax-loader.gif HTTP/1.1" 200 7825
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:23:59 +0530] "GET /Day03/lab07.html HTTP/1.1" 200 2122
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:23:59 +0530] "GET /Day03/jquery.mobile-1.1.1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:23:59 +0530] "GET /Day03/jquery-1.7.2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:23:59 +0530] "GET /Day03/jquery.mobile-1.1.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:23:59 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:24:00 +0530] "GET /Day03/lab07.html HTTP/1.1" 200 2122
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:24:00 +0530] "GET /Day03/jquery.mobile-1.1.1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:24:00 +0530] "GET /Day03/jquery.mobile-1.1.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:24:00 +0530] "GET /Day03/jquery-1.7.2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:24:00 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:24:41 +0530] "GET /Day03/lab07.html HTTP/1.1" 200 2143
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:24:41 +0530] "GET /Day03/jquery.mobile-1.1.1.css HTTP/1.1" 200 102759
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:24:42 +0530] "GET /Day03/jquery-1.7.2.js HTTP/1.1" 200 262283
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:24:42 +0530] "GET /Day03/jquery.mobile-1.1.1.js HTTP/1.1" 200 244345
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:24:46 +0530] "GET /Day03/lab07.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:24:46 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:25:25 +0530] "GET /Day03/lab07.html HTTP/1.1" 200 2166
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:25:25 +0530] "GET /Day03/images/icons-18-white.png HTTP/1.1" 200 1806
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:25:38 +0530] "GET /Day03/lab07.html HTTP/1.1" 200 2125
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:25:38 +0530] "GET /Day03/jquery.mobile-1.1.1.css HTTP/1.1" 200 102759
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:25:39 +0530] "GET /Day03/jquery.mobile-1.1.1.js HTTP/1.1" 200 244345
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:25:39 +0530] "GET /Day03/jquery-1.7.2.js HTTP/1.1" 200 262283
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:25:39 +0530] "GET /Day03/images/icons-18-white.png HTTP/1.1" 200 1806
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:25:50 +0530] "GET /Day03/lab07.html HTTP/1.1" 200 2166
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:25:50 +0530] "GET /Day03/jquery.mobile-1.1.1.css HTTP/1.1" 200 102759
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:25:51 +0530] "GET /Day03/jquery.mobile-1.1.1.js HTTP/1.1" 200 244345
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:25:51 +0530] "GET /Day03/jquery-1.7.2.js HTTP/1.1" 200 262283
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:25:51 +0530] "GET /Day03/images/icons-18-white.png HTTP/1.1" 200 1806
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:25:58 +0530] "GET /Day03/login.jsp?username=admin&password=admin HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:26:10 +0530] "GET /Day03/lab07.html HTTP/1.1" 200 2166
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:26:10 +0530] "GET /Day03/jquery.mobile-1.1.1.css HTTP/1.1" 200 102759
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:26:10 +0530] "GET /Day03/jquery.mobile-1.1.1.js HTTP/1.1" 200 244345
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:26:10 +0530] "GET /Day03/jquery-1.7.2.js HTTP/1.1" 200 262283
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:26:10 +0530] "GET /Day03/images/icons-18-white.png HTTP/1.1" 200 1806
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:26:15 +0530] "GET /Day03/login.jsp?username=admin&password=admin HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:26:15 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:26:27 +0530] "GET /Day03/lab07.html HTTP/1.1" 200 2175
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:26:27 +0530] "GET /Day03/jquery.mobile-1.1.1.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:26:28 +0530] "GET /Day03/jquery.mobile-1.1.1.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:26:28 +0530] "GET /Day03/jquery-1.7.2.js HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:26:29 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:26:33 +0530] "GET /Day03/login.jsp?username=admin&password=admin HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:26:33 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:26:33 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:29:59 +0530] "GET /Day03/lab07.html HTTP/1.1" 200 2566
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:29:59 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:30:05 +0530] "GET /Day03/login.jsp?username=admin&password=admin HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:30:05 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:30:05 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:30:30 +0530] "GET /Day03/lab07.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:30:30 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:37:27 +0530] "GET /Day03/lab07.html HTTP/1.1" 200 3199
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:37:27 +0530] "GET /Day03/jquery.mobile-1.1.1.css HTTP/1.1" 200 102759
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:37:27 +0530] "GET /Day03/jquery.mobile-1.1.1.js HTTP/1.1" 200 244345
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:37:27 +0530] "GET /Day03/jquery-1.7.2.js HTTP/1.1" 200 262283
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:37:27 +0530] "GET /Day03/images/icons-18-white.png HTTP/1.1" 200 1806
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:37:27 +0530] "GET /Day03/images/ajax-loader.gif HTTP/1.1" 200 7825
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:37:27 +0530] "GET /favicon.ico HTTP/1.1" 404 986
70.38.124.11 - - [27/Jul/2012:10:37:42 +0530] "GET / HTTP/1.0" 404 953
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:37:51 +0530] "GET /Day03/lab07.html HTTP/1.1" 200 3196
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:37:58 +0530] "GET /Day03/login.jsp?username=admin&password=admin HTTP/1.1" 200 63
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:37:58 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:37:58 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:38:15 +0530] "GET /Day03/lab07.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:38:16 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:38:46 +0530] "GET /Day03/lab07.html HTTP/1.1" 200 3230
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:38:47 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:39:00 +0530] "GET /Day03/lab07.html HTTP/1.1" 200 3245
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:39:00 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:40:36 +0530] "GET /Day03/lab07.html HTTP/1.1" 200 3573
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:40:36 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:40:38 +0530] "GET /favicon.ico HTTP/1.1" 404 986
0:0:0:0:0:0:0:1 - - [27/Jul/2012:10:40:38 +0530] "GET /favicon.ico HTTP/1.1" 404 986
